constituency,code,direction,win_lose,party,candidate,votes,perc_share,change
Orkney & Shetland,S14000051,LD HOLD,lose,Scottish National Party,Robert Leslie,"7,874",34.0,+5.0
Orkney & Shetland,S14000051,LD HOLD,lose,Conservative,Jennifer Fairbairn,"2,287",9.9,+1.2
Orkney & Shetland,S14000051,LD HOLD,lose,Labour,Coilla Drake,"1,550",6.7,-4.8
Orkney & Shetland,S14000051,LD HOLD,lose,The Brexit Party,Robert Smith,900,3.9,+3.9
Orkney & Shetland,S14000051,LD HOLD,lose,Independent,David Barnard,168,0.7,+0.7
Rutherglen & Hamilton West,S14000056,SNP GAIN FROM LAB,win,Scottish National Party,Margaret Ferrier,"23,775",44.2,+7.2
Rutherglen & Hamilton West,S14000056,SNP GAIN FROM LAB,lose,Labour,Ged Killen,"18,545",34.5,-3.1
Rutherglen & Hamilton West,S14000056,SNP GAIN FROM LAB,lose,Conservative,Lynne Nailon,"8,054",15.0,-4.6
Rutherglen & Hamilton West,S14000056,SNP GAIN FROM LAB,lose,Liberal Democrat,Mark McGeever,"2,791",5.2,+0.9
Rutherglen & Hamilton West,S14000056,SNP GAIN FROM LAB,lose,UKIP,Janice Mackay,629,1.2,+0.3
Paisley & Renfrewshire North,S14000052,SNP HOLD,win,Scottish National Party,Gavin Newlands,"23,353",47.0,+9.6
Paisley & Renfrewshire North,S14000052,SNP HOLD,lose,Labour,Alison Taylor,"11,451",23.0,-8.8
Paisley & Renfrewshire North,S14000052,SNP HOLD,lose,Conservative,Julie Pirone,"11,217",22.6,-5.0
Paisley & Renfrewshire North,S14000052,SNP HOLD,lose,Liberal Democrat,Ross Stalker,"3,661",7.4,+4.2
Paisley & Renfrewshire South,S14000053,SNP HOLD,win,Scottish National Party,Mhairi Black,"21,637",50.2,+9.6
Paisley & Renfrewshire South,S14000053,SNP HOLD,lose,Labour,Moira Ramage,"10,958",25.4,-9.1
Paisley & Renfrewshire South,S14000053,SNP HOLD,lose,Conservative,Mark Dougan,"7,571",17.6,-1.9
Paisley & Renfrewshire South,S14000053,SNP HOLD,lose,Liberal Democrat,Jack Clark,"2,918",6.8,+3.6
Perth & North Perthshire,S14000054,SNP HOLD,win,Scottish National Party,Pete Wishart,"27,362",50.6,+8.3
Perth & North Perthshire,S14000054,SNP HOLD,lose,Conservative,Angus Forbes,"19,812",36.6,-5.6
Perth & North Perthshire,S14000054,SNP HOLD,lose,Liberal Democrat,Peter Barrett,"3,780",7.0,+2.0
Perth & North Perthshire,S14000054,SNP HOLD,lose,Labour,Angela Bretherton,"2,471",4.6,-5.8
Perth & North Perthshire,S14000054,SNP HOLD,lose,The Brexit Party,Stuart Powell,651,1.2,+1.2
"Ross, Skye & Lochaber",S14000055,SNP HOLD,win,Scottish National Party,Ian Blackford,"19,263",48.3,+8.1
"Ross, Skye & Lochaber",S14000055,SNP HOLD,lose,Liberal Democrat,Craig Harrow,"9,820",24.6,+3.7
"Ross, Skye & Lochaber",S14000055,SNP HOLD,lose,Conservative,Gavin Berkenheger,"6,900",17.3,-7.6
"Ross, Skye & Lochaber",S14000055,SNP HOLD,lose,Labour,John Erskine,"2,448",6.1,-6.1
"Ross, Skye & Lochaber",S14000055,SNP HOLD,lose,The Brexit Party,Kate Brownlie,710,1.8,+1.8
"Ross, Skye & Lochaber",S14000055,SNP HOLD,lose,Christian Party,Donald Boyd,460,1.2,+1.2
"Ross, Skye & Lochaber",S14000055,SNP HOLD,lose,Scottish Family Party,Richard Lucas,268,0.7,+0.7
Stirling,S14000057,SNP GAIN FROM CON,win,Scottish National Party,Alyn Smith,"26,895",51.1,+14.4
Stirling,S14000057,SNP GAIN FROM CON,lose,Conservative,Stephen Kerr,"17,641",33.5,-3.5
Stirling,S14000057,SNP GAIN FROM CON,lose,Labour,Mary Ross,"4,275",8.1,-14.0
Stirling,S14000057,SNP GAIN FROM CON,lose,Liberal Democrat,Fayzan Rehman,"2,867",5.4,+2.0
Stirling,S14000057,SNP GAIN FROM CON,lose,Green,Bryan Quinn,942,1.8,+1.8
Aberdeenshire West & Kincardine,S14000058,CON HOLD,win,Conservative,Andrew Bowie,"22,752",42.7,-5.2
Aberdeenshire West & Kincardine,S14000058,CON HOLD,lose,Scottish National Party,Fergus Mutch,"21,909",41.1,+8.6
Aberdeenshire West & Kincardine,S14000058,CON HOLD,lose,Liberal Democrat,John Waddell,"6,253",11.7,+3.1
Aberdeenshire West & Kincardine,S14000058,CON HOLD,lose,Labour,Paddy Coffield,"2,431",4.6,-6.5
Dunbartonshire West,S14000059,SNP HOLD,win,Scottish National Party,Martin Docherty,"22,396",49.6,+6.8
Dunbartonshire West,S14000059,SNP HOLD,lose,Labour,Jean Anne Mitchell,"12,843",28.5,-9.2
Dunbartonshire West,S14000059,SNP HOLD,lose,Conservative,Alix Mathieson,"6,436",14.3,-2.9
Dunbartonshire West,S14000059,SNP HOLD,lose,Liberal Democrat,Jennifer Lang,"1,890",4.2,+1.9
Dunbartonshire West,S14000059,SNP HOLD,lose,Green,Peter Connolly,867,1.9,+1.9
Dunbartonshire West,S14000059,SNP HOLD,lose,Independent,Andrew Muir,708,1.6,+1.6
